timestamp,热总能量计累计热量,总冷累计能量（kWh）
2018-01-01T12:03:20Z,15086.47,2726.25
2018-01-01T12:05:00Z,15086.555,2726.25
2018-01-01T12:08:20Z,15086.64,2726.25
2018-01-01T12:10:00Z,15086.724999999999,2726.25
2018-01-01T12:13:20Z,15086.81,2726.25
2018-01-01T12:15:00Z,15086.91,2726.25
2018-01-01T12:18:20Z,15087.01,2726.25
2018-01-01T12:20:00Z,15087.1,2726.25
2018-01-01T12:23:20Z,15087.19,2726.25
2018-01-01T12:25:00Z,15087.28,2726.25
2018-01-01T12:28:19Z,15087.37,2726.25
2018-01-01T12:30:00Z,15087.465,2726.25
2018-01-01T12:33:20Z,15087.56,2726.25
2018-01-01T12:35:00Z,15087.64,2726.25
2018-01-01T12:38:20Z,15087.72,2726.25
2018-01-01T12:40:00Z,15087.825,2726.25
2018-01-01T12:43:20Z,15087.93,2726.25
2018-01-01T12:45:00Z,15088.015,2726.25
2018-01-01T12:48:19Z,15088.1,2726.25
2018-01-01T12:50:00Z,15088.19,2726.25
2018-01-01T12:53:20Z,15088.28,2726.25
2018-01-01T12:55:00Z,15088.375,2726.25
2018-01-01T12:58:20Z,15088.47,2726.25
2018-01-01T13:00:00Z,15088.555,2726.25
2018-01-01T13:03:20Z,15088.64,2726.25
2018-01-01T13:05:00Z,15088.735,2726.25
2018-01-01T13:08:20Z,15088.83,2726.25
2018-01-01T13:10:00Z,15088.92,2726.25
2018-01-01T13:13:20Z,15089.01,2726.25
2018-01-01T13:15:00Z,15089.095000000001,2726.25
2018-01-01T13:18:20Z,15089.18,2726.25
2018-01-01T13:20:00Z,15089.275000000001,2726.25
2018-01-01T13:23:20Z,15089.37,2726.25
2018-01-01T13:25:00Z,15089.455000000002,2726.25
2018-01-01T13:28:20Z,15089.54,2726.25
2018-01-01T13:30:00Z,15089.630000000001,2726.25
2018-01-01T13:33:20Z,15089.72,2726.25
2018-01-01T13:35:00Z,15089.82,2726.25
2018-01-01T13:38:20Z,15089.92,2726.25
2018-01-01T13:40:00Z,15090.005000000001,2726.25
2018-01-01T13:43:20Z,15090.09,2726.25
2018-01-01T13:45:00Z,15090.18,2726.25
2018-01-01T13:48:20Z,15090.27,2726.25
2018-01-01T13:50:00Z,15090.365,2726.25
2018-01-01T13:53:20Z,15090.46,2726.25
2018-01-01T13:55:00Z,15090.544999999998,2726.25
2018-01-01T13:58:20Z,15090.63,2726.25
2018-01-01T14:00:00Z,15090.735,2726.25
2018-01-01T14:03:20Z,15090.84,2726.25
2018-01-01T14:05:00Z,15090.925,2726.25
2018-01-01T14:08:20Z,15091.01,2726.25
2018-01-01T14:10:00Z,15091.1,2726.25
2018-01-01T14:13:20Z,15091.19,2726.25
2018-01-01T14:15:00Z,15091.28,2726.25
2018-01-01T14:18:20Z,15091.37,2726.25
2018-01-01T14:20:00Z,15091.465,2726.25
2018-01-01T14:23:20Z,15091.56,2726.25
2018-01-01T14:25:00Z,15091.65,2726.25
2018-01-01T14:28:20Z,15091.74,2726.25
2018-01-01T14:30:00Z,15091.835,2726.25
2018-01-01T14:33:20Z,15091.93,2726.25
2018-01-01T14:35:00Z,15092.015,2726.25
2018-01-01T14:38:20Z,15092.1,2726.25
2018-01-01T14:40:00Z,15092.195,2726.25
2018-01-01T14:43:20Z,15092.29,2726.25
2018-01-01T14:45:00Z,15092.385,2726.25
2018-01-01T14:48:20Z,15092.48,2726.25
2018-01-01T14:50:00Z,15092.564999999999,2726.25
2018-01-01T14:53:20Z,15092.65,2726.25
2018-01-01T14:55:00Z,15092.74,2726.25
2018-01-01T14:58:20Z,15092.83,2726.25
2018-01-01T15:00:00Z,15092.93,2726.25
